section,questions,,,, ,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Anime,In which anime series is Ash Ketchum the main character?,Option a: Pokemon,Option b: Naruto,Option c: Dragon Ball Z,Option d: Bleach,,a,,,,,,,,,,,,,,
,What color is Naruto's Hair?,Option a: Grey,Option b: Blue,Option c: Yellow,Option d: Red,,c,,,,,,,,,,,,,,
,What country does anime come from?,Option a: United States,Option b: Japan,Option c: Germany,Option d: Spain,,b,,,,,,,,,,,,,,
,The first episode of Soul Eater was released in 2010,Option a: True,nOption b: False,,,,b,,,,,,,,,,,,,,
,Which anime does Ichigo Kurosaki belong to?,Option a: Blue Lock,Option b: Attack on Titan,Option c: Highschool DXD,Option d: Bleach,,d,,,,,,,,,,,,,,
,What is the meaning of Aiko?,Option a: Child of Love,Option b: Demon of Hate,Option c: Peace,Option d: Joy,,a,,,,,,,,,,,,,,
,Which anime series revolves around a boy who sells his soul to a demon?,Option a: Demon Slayer,Option b: Naruto,Option c: Black Butler,Option d: Hunter X Hunter,,c,,,,,,,,,,,,,,
,Who was the first character in 'Dragon Ball Z' who achieved the Super Saiyan 2?,Option a: Vegeta,Option b: Gohan,Option c: Trunks,Option d: Goku,,b,,,,,,,,,,,,,,
,Which Hunter X Hunter character wants to be a doctor?,Option a: Feitan,Option b: Hisoka,Option c: Leorio,Option d: Gon,,c,,,,,,,,,,,,,,
,Who was the first Joestar?,Option a: Johnathon Joestar,Option b: Giorno Giovanna,Option c: Joseph Joestar,Option d: Jotaro Joestar,,a,,,,,,,,,,,,,,
,Saiki K's favorite food is coffee jelly,Option a: True,Option b: False,,,,a,,,,,,,,,,,,,,
,What was Christa's real name in Attack on Titan?,Option a: Mariah,Option b: Anne,Option c: Christa,Option d: Historia,,d,,,,,,,,,,,,,,
,What was Gon's Hunter Exam number?,Option a: 305,Option b: 405,Option c: 269,Option d: 71,,b,,,,,,,,,,,,,,
,Demon Slayer: Infinity Train became the highest grossing anime and Japanese film of all-time,Option a: True,Option b: False,,,,a,,,,,,,,,,,,,,
,What Anime won Anime of the Year in Crunchyroll Anime Awards 2021,Option a: Attack On Titan,Option b: Shimoneta,Option c: Jujustu kaisen,Option d: Spy X Family,,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Marvel,How many Infinity Stones are there?,Option a: 6,Option b: 7,Option c: 4,Option d: 9,,a,,,,,,,,,,,,,,
,What species is Groot?,Option a: Random Tree,Option b: Groot,Option c: Maple,Option d: Flora Colossus,,d,,,,,,,,,,,,,,
,"In the first Avengers movie, how many avengers do we actually see?",Option a: 9,Option b: 2,Option c: 6,Option d: 3,,c,,,,,,,,,,,,,,
,Which Marvel movie has the shortest running time?,Option a: Iron Man,Option b: The Winter Soldier,Option c: Spiderman,Option d: The Incredible Hulk,,d,,,,,,,,,,,,,,
,Who was Doctor Strange's mentor?,Option a: Iron Man,Option b: The Mist,Option c: The Acient One,Option d: Peter Parker,,c,,,,,,,,,,,,,,
,Which eye does Thor lose?,Option a: The Left One,Option b: The Right One,,,,b,,,,,,,,,,,,,,
,Who was the first female superhero to appear in the title of an MCU film?,Option a: Black Widow,Option b: Wanda,Option c: Catwoman,Option d: The Wasp,,d,,,,,,,,,,,,,,
,Who is Wolverine's biggest enemy?,Option a: Lady Deathstrike,Option b: Cyber,Option c: Sabertooth,Option d: Gorgon,,c,,,,,,,,,,,,,,
,Is it true that the Hulk is immune to all kinds of diseases and viruses?,Option a: True,Option b: False,,,,a,,,,,,,,,,,,,,
,What symbol is on Captain America's shield?,Option a: A circle,Option b: A Star,Option c: A Square,Option d: A Rhombus,,b,,,,,,,,,,,,,,
,The final battle between Mysterio and Spiderman takes place on which bridge?,Option a: Bay Bridge,Option b: Golden Gate,Option c: Star Bridge,Option d: Tower Bridge,,d,,,,,,,,,,,,,,
,What newspaper does Peter Parker work for?,Option a: Daily Bugle,Option b: The Press,Option c: Paper Express,Option d: CNN,,a,,,,,,,,,,,,,,
,What's Deadpool's real name?,Option a: Wade Cunningham,Option b: Jerry Cane,Option c: Wade Wilsom,Option d: Thomas Wilson,,c,,,,,,,,,,,,,,
,Who is Tony Stark's father?,Option a: Steven Stark,Option b: Howard Stark,Option c: Terrence Stark,Option d: Cade Stark,,b,,,,,,,,,,,,,,
,Captain America's shield and Bucky's arm are made of what?,Option a: Aluminum,Option b: Steel,Option c: Titanium,Option d: Vibranium,,d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
One Liners,"What movie is this line from? ""A martini. Shaken, not stirred.""",Option a: Spirted,Option b: Golfinger,Option c: ScarFace,Option d: Ted,,b,,,,,,,,,,,,,,
,"What movie is this line from? ""This Is Sparta""",Option a: Batman: Dark Night Rises,Option b: The Godfather,Option c: 12 Angry Men,Option d: 300,,d,,,,,,,,,,,,,,
,"What Movie is this line from? ""Hasta la vista, baby.""",Option a: Terminator 2: Judgment Day,Option b: Goodfellas,Option c: Se7en,Option d: Forest Gump,,a,,,,,,,,,,,,,,
,"What Movie is this line from?  ""It was beauty killed the beast.""",Option a: Beauty And The Beast,Option b: City of God,Option c: Saving Private Ryan,Option d: King Kong,,d,,,,,,,,,,,,,,
,"What Movie is this line from? ""You're killin' me, Smalls.""",Option a: The Sandlot,Option b: The Green Mile,Option c: Life is Beautiful,Option d: Psycho,,a,,,,,,,,,,,,,,
,"What Movie is this line from? ""Toto, I've a feeling we're not in Kansas anymore.""",Option a: Back To The Future,Option b: The Lion King,Option c: The Wizard of Oz,Option d: Whiplash,,c,,,,,,,,,,,,,,
,"What Movie is this line from? ""I'm walking here! I'm walking here!""",Option a: Harakiri,Option b: Midnight Cowboy,Option c: Modern Times,Option d: Djanjo Unchained,,b,,,,,,,,,,,,,,
,"What Movie is this line from? ""Here's Johnny!""",Option a: The Shining,Option b: Sunset Blvd.,Option c: Aliens,Option d: Sausage Party,,a,,,,,,,,,,,,,,
,"What Movie is this line from? ""You had me at Hello""",Option a: The Intouchables,Option b: Rear Window,Option c: American Beauty,Option d: Jerry Maguire,,d,,,,,,,,,,,,,,
,"What Movie is this line from? ""You can't handle the truth""",Option a: Paths to Glory,Option b: A Few Good Men,Option c: Momento,Option d: Joker,,b,,,,,,,,,,,,,,
,"What Movie is this line from? ""I feel the need, the need for speed""",Option a: Your Name,Option b: 3 Idiots,Option c: Coco,Option d: Top Gun,,d,,,,,,,,,,,,,,
,"What Movie is this line from? ""I'm the King of the World""",Option a: Snatch,Option b: To Kill A Mockingbird,Option c: Titanic,Option d: Forest Gump,,c,,,,,,,,,,,,,,
,"What Movie is this line from?  ""I'll get you, my pretty, and your little dog too!""",Option a: The wizard of Oz,Option b: Die Hard,Option c: Taken,Option d: 1917,,a,,,,,,,,,,,,,,
,"What Movie is this line from? ""Carpe Diem. Seize the day, boys. Make your lives extraordinary""",Option a: Green Book,Option b: Goodfellas,Option c: The Father,Option d: Dead Poets Society,,d,,,,,,,,,,,,,,
,"What Movie is this line from? ""Every day above ground is a good day.""",Option a: Scarface,Option b: Goodfellas,Option c: Se7en,Option d: Casino,,a,,,,,,,,,,,,,,
,"What movie is the line from? ""I will look for you, I will find you, and I will kill you""",Option a: Terminator 2: Judgment Day,Option b: The Wolf Of Wall Street,Option c: Taken,Option d: Ran,,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Action,How many movies make up the Fast & Furious franchise so far?,Option a: 9,Option b: 6,Option c: 12,Option d: 10,,a,,,,,,,,,,,,,,
,Who performed the theme song for the upcoming James Bond movie No Time to Die?,Option a: Chnace The Rapper,Option b: Lil Baby,Option c: 12 Mariah Carey,Option d: Billie Elish,,d,,,,,,,,,,,,,,
,Will Smith and Martin Lawrence team up in which 1995 action-comedy movie?,Option a: Bad Boys,Option b: Men In Black,Option c: Madea,Option d: White Chicks,,a,,,,,,,,,,,,,,
,"What is the name of the lead character in the 1983 film ""Scarface""?",Option a: Joey Montana,Option b: Tony Montana,Option c: Jerry Price,Option d: Tyler Kong,,b,,,,,,,,,,,,,,
,"Starring Arnold Schwarzenegger, the 1987 movie ""The Running Man"" is based on a novel by whom?",Option a: Stephen King,Option b: Mark Twain,Option c: James Joyce,Option d: William Shakespeare,,a,,,,,,,,,,,,,,
,"""Go ahead, make my day."" is a well-known quote from which classic-action film?",Option a: Taken,Option b: Shutter Island,Option c: Sudden Impact,Option d: Jurassic Park,,c,,,,,,,,,,,,,,
,"In The Matrix, does Neo take the blue pill or the red pill?",Option a: Blue Pill,Option b: Red Pill,,,,b,,,,,,,,,,,,,,
,What is the kidnapper's response to Liam Neeson's epic monologue in Taken?,"Option a: ""Good Luck""","Option b: ""Come and get me""","Option c: ""Nice Try""","Option d: ""Have Fun Trying""",,a,,,,,,,,,,,,,,
,Which pet of John Wick's do the gangsters kill,Option a: His Parrot,Option b: His Cat,Option c: His Goldfish,Option d: His Dog,,d,,,,,,,,,,,,,,
,What computer program caused the end of the world in Terminator?,Option a: JavaScript,Option b: SkyNet,Option c: Matrix,Option d: MetaVerse,,b,,,,,,,,,,,,,,
,What war did John Rambo fight in?,Option a: World War 1,Option b: World War 2,Option c: Spanish-American War,Option d: Vietnam War,,d,,,,,,,,,,,,,,
,"Complete the 300 quote: ""Tonight, we...""","Option a: ""Raise Hell""","Option b: ""Bathe In The Blood Of Our Enemies""","Option c: ""Dine in Hell""","Option d: ""Die For Sparta""",,c,,,,,,,,,,,,,,
,What does the Predator see?,Option a: Heat,Option b: Movement,Option c: Brain Waves,Option d: Energy,,a,,,,,,,,,,,,,,
,Which of these Fast & Furious movies introduced Dwayne Johnson's character?,Option a: The Fast and The Furious,Option b: 2 fast 2 Furious,Option c: Fast 9,Option d: Fast Five,,d,,,,,,,,,,,,,,
,"In The Matrix, what does deja vu mean?",Option a: A new object has been introduced,Option b: The same event has already happened,Option c: The Code has been changed,Option d: The Code is the same,,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Comedy,"What is the number 1 rated comedy movie of all time according to the movie review website, Rotten Tomatoes?",Option a: It Happened One Night,Option b: Men In Black,Option c: Scary Movie 2,Option d: Sextuplets,,a,,,,,,,,,,,,,,
,How much did comedy actor Will Ferrell turn down to do an Elf Movie 2?,Option a: $7 Million,Option b: $52 Million,Option c: $29 Million,Option d: $14 Million,,c,,,,,,,,,,,,,,
,Who plays Sherman Klump in The Nutty Professor (1996)?,Option a: Nick Cannon,Option b: Steve Harvey,Option c: Ice Cube,Option d: Eddie Murphy,,d,,,,,,,,,,,,,,
,What comedy movie franchise do Jim Carrey and Harry Dunne play intelligently-challenged characters?,Option a: Forest Gump,Option b: Dumb And Dumber,Option c: We're The Millers,Option d: Tyler Kong,,b,,,,,,,,,,,,,,
,"Name the comedy movie that features the hilarious line: ""Santa, I know him!""",Option a: Elf,Option b: The Polar Express,Option c: This Christmas,Option d: Spirted,,a,,,,,,,,,,,,,,
,"Which comedy movie sees Terry Crews singing and dancing to ""A thousand miles"" by Vanessa Carlton?",Option a: Taken,Option b: Madea,Option c: White Chicks,Option d: Groundhog Day,,c,,,,,,,,,,,,,,
,In which movie do we see 2 grown-up men pleading with their parents whether they can turn their beds into bunk beds?,Option a: The Brothers,Option b: StepBothers,Option c: Brothers Grim,Option d: Four Brothers,,b,,,,,,,,,,,,,,
,It took the makeup department an hour per day to create Eddie Murphy's transformation for The Nutty Professor,Option a: True,Option b: False,,,,b,,,,,,,,,,,,,,
,What city are Harry and Lloyd trying to get to in 'Dumb & Dumber'?,Option a: Sandy,Option b: Providence,Option c: Salt Lake City,Option d: Aspen,,d,,,,,,,,,,,,,,
,"In ""Wedding Crashers,"" what does Will Ferrell's character crash?",Option a: Weddings,Option b: Funerals,Option c: Birthdays,Option d: Bar Mitzvahs,,b,,,,,,,,,,,,,,
,"According to Buddy the Elf, the four food groups are candy, candy canes, candy corns and...?",Option a: Milk,Option b: Cookies,Option c: Soda,Option d: Syrup,,d,,,,,,,,,,,,,,
,In what movie does the Stay Puft Marshmallow Man begin destroying New York City?,Option a: The BFG,Option b: GooseBumps,Option c: Ghostbusters,Option d: The Goonies,,c,,,,,,,,,,,,,,
,"Making its debut in 1999, ""Bigger, Longer and Uncut"" was an animated movie version of which hit TV show?",Option a: South Park,Option b: Family Guy,Option c: American Dad,Option d: Robot Chicken,,a,,,,,,,,,,,,,,
